bookID,title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,Year,publisher,Publisher trim,Publisher clean,Left function
29633,Uzumaki: Spiral into Horror  Vol. 1,Junji Ito/ä¼Šè—¤æ½¤äºŒ,4.32,208,12618,774,06/10/2001,2001,Vintage,,,
24330,All the Names,JosÃ© Saramago/Margaret Jull Costa,3.89,245,11016,734,05/10/2001,2001,Bloomsbury Paperbacks,,,
11996,The Bridegroom,Ha Jin,3.77,225,49,9,04/10/2001,2001,Pocket,,,
4411,Isabel: Princesa De Castilla  EspaÃ±a  1466,Carolyn Meyer/Carme Camps Monf,3.71,184,8,0,03/10/2001,2001,Viz Media,,,
24780,Merrick (The Vampire Chronicles #7),Anne Rice,3.73,370,35529,478,02/10/2001,2001,Mariner Books,,,
12845,The Black Tower (Adam Dalgliesh #5),P.D. James,4,352,13801,335,02/10/2001,2001,Vintage,,,
28862,Arctic Dreams,Barry  Lopez,4.21,496,5155,333,02/10/2001,2001,Salamandra,,,
43932,Honey (Shooting Stars  #4),V.C. Andrews,3.74,180,2447,27,02/10/2001,2001,MTV Books,,,
2495,Wifey / Smart Women,Judy Blume,3.68,560,376,20,02/10/2001,2001,Pocket Books,,,
15379,Blink-182: Tales from Beneath Your Mom,Mark Hoppus/Anne Hoppus/Alex Gaskarth,4.39,112,169,22,02/10/2001,2001,Vintage,,,
27149,Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,4.17,184,1300470,14739,01/10/2001,2001,Scribner,,,
35431,Songs of the Humpback Whale,Jodi Picoult,3.2,346,27590,1838,01/10/2001,2001,Pocket Books,,,
10464,A River Runs Through it and Other Stories,Norman Maclean/Annie Proulx,4.18,217,18634,1147,01/10/2001,2001,Ballantine Books,,,
18260,Deck the Halls,Mary Higgins Clark/Carol Higgins Clark,3.61,292,7116,276,01/10/2001,2001,Creation Books,,,
4987,There Is Nothing Wrong with You: Going Beyond Self-Hate,Cheri Huber/June Shiver,4.18,239,1623,101,01/10/2001,2001,Santillana USA Publishing Company,,,
38514,Lotta on Troublemaker Street,Astrid Lindgren/Robin Preiss Glasser,3.98,55,1429,24,01/10/2001,2001,Deutscher Taschenbuch Verlag,,,
32264,Harry Potter ve SÄ±rlar OdasÄ± (Harry Potter  #2),J.K. Rowling/Sevin Okyay,4.42,403,1000,41,01/10/2001,2001,Sterling,,,
36048,The Buddha in Your Mirror: Practical Buddhism and the Search for Self,Woody Hochswender/Greg Martin/Ted Morino,4.28,230,732,72,01/10/2001,2001,MetroBooks (NY),,,
35602,Naked,David Sedaris/Amy Sedaris,4.09,3,308,62,01/10/2001,2001,Grand Central Publishing,,,
31476,Barrel Fever and Other Stories,David Sedaris/Amy Sedaris,3.79,3,183,47,01/10/2001,2001,Grand Central Publishing,,,
16570,The American Heritage New History of the Civil War,Bruce Catton/James M. McPherson,4.11,630,104,2,01/10/2001,2001,Middleway Press,,,
24217,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,48,66,19,01/10/2001,2001,YapÄ± Kredi YayÄ±nlarÄ±,,,
17176,Power: Die 48 Gesetze Der Macht,Robert Greene/Birgit Brandau/Hartmut Schickert,4.18,536,39,4,01/10/2001,2001,Keep It Simple Books,,,
2372,El Evangelio SegÃºn Jesucristo,JosÃ© Saramago/Basilio Losada,4.29,480,34,6,01/10/2001,2001,University of Chicago Press,,,
33928,Fucked By Rock + Cd,Mark Manning,3.96,205,1,0,01/10/2001,2001,HarperCollinsPublishers,,,
41551,Independent People,HalldÃ³r Laxness/James Anderson Thompson,4.17,544,80,11,28/09/2001,2001,Aladdin Paperbacks,,,
29587,The Confusions of Young TÃ¶rless,Robert Musil/Shaun Whiteside/J.M. Coetzee,3.73,176,4374,179,27/09/2001,2001,Pocket Books,,,
19057,The Wonderful Story Of Henry Sugar and Six More,Roald Dahl,4.14,224,252,21,27/09/2001,2001,Washington Square Press,,,
14029,J.K. Rowling's Harry Potter Novels: A Reader's Guide,Philip Nel,3.58,96,78,9,26/09/2001,2001,Harvill Press,,,
39905,Stopping by Woods on a Snowy Evening,Robert Frost/Susan Jeffers,4.4,32,9205,322,24/09/2001,2001,Puffin Books,,,
157,Notebook of a Return to the Native Land,AimÃ© CÃ©saire/Annette Smith/Clayton Eshleman,4.09,66,941,49,24/09/2001,2001,Penguin,Penguin,Penguin,Penguin
23837,Year's Happy Ending,Betty Neels,3.97,216,134,14,24/09/2001,2001,Bloomsbury Academic,,,
2661,Absent in the Spring and Other Novels (Mary Westmacott Omnibus  #1--Absent in the Spring  Giant's Bread  The Rose and the Yew Tree),Mary Westmacott/Agatha Christie,4.18,656,97,11,22/09/2001,2001,Harlequin Readers' Choice,,,
